Gen  88 | loss=0.3500 | f1=0.0785 prec=0.0435 rec=0.4062 jacc=0.0409 | nodes=54/40 edges=854/64
Gen  89 | loss=0.5500 | f1=0.0752 prec=0.0409 rec=0.4688 jacc=0.0391 | nodes=62/40 edges=1202/64
Gen  90 | loss=0.4000 | f1=0.0769 prec=0.0423 rec=0.4219 jacc=0.0400 | nodes=56/40 edges=926/64
Gen  91 | loss=0.3500 | f1=0.0785 prec=0.0435 rec=0.4062 jacc=0.0409 | nodes=54/40 edges=854/64
Gen  92 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen  93 | loss=0.5500 | f1=0.0752 prec=0.0409 rec=0.4688 jacc=0.0391 | nodes=62/40 edges=1202/64
Gen  94 | loss=0.3500 | f1=0.0785 prec=0.0435 rec=0.4062 jacc=0.0409 | nodes=54/40 edges=854/64
Gen  95 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen  96 | loss=0.3500 | f1=0.0785 prec=0.0435 rec=0.4062 jacc=0.0409 | nodes=54/40 edges=854/64
Gen  97 | loss=0.3500 | f1=0.0785 prec=0.0435 rec=0.4062 jacc=0.0409 | nodes=54/40 edges=854/64
Gen  98 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen  99 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen 100 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen 101 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen 102 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen 103 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen 104 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen 105 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen 106 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen 107 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen 108 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen 109 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen 110 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen 111 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen 112 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen 113 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen 114 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen 115 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen 116 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen 117 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen 118 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen 119 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen 120 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen 121 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen 122 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen 123 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen 124 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen 125 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
Gen 126 | loss=0.6000 | f1=0.0679 prec=0.0367 rec=0.4531 jacc=0.0352 | nodes=64/40 edges=1330/64
