Gen 108 | loss=0.0000 | f1=0.0619 prec=0.0364 rec=0.2078 jacc=0.0319 | nodes=80/80 edges=1458/255
Gen 109 | loss=0.0000 | f1=0.0611 prec=0.0357 rec=0.2118 jacc=0.0315 | nodes=80/80 edges=1514/255
Gen 110 | loss=0.0000 | f1=0.0652 prec=0.0377 rec=0.2431 jacc=0.0337 | nodes=80/80 edges=1646/255
Gen 111 | loss=0.0000 | f1=0.0611 prec=0.0357 rec=0.2118 jacc=0.0315 | nodes=80/80 edges=1514/255
Gen 112 | loss=0.0000 | f1=0.0595 prec=0.0347 rec=0.2078 jacc=0.0307 | nodes=80/80 edges=1526/255
Gen 113 | loss=0.0000 | f1=0.0606 prec=0.0351 rec=0.2235 jacc=0.0312 | nodes=80/80 edges=1626/255
Gen 114 | loss=0.0000 | f1=0.0611 prec=0.0357 rec=0.2118 jacc=0.0315 | nodes=80/80 edges=1514/255
Gen 115 | loss=0.0000 | f1=0.0580 prec=0.0338 rec=0.2039 jacc=0.0299 | nodes=80/80 edges=1538/255
Gen 116 | loss=0.0000 | f1=0.0595 prec=0.0347 rec=0.2078 jacc=0.0307 | nodes=80/80 edges=1526/255
Gen 117 | loss=0.0250 | f1=0.0594 prec=0.0344 rec=0.2196 jacc=0.0306 | nodes=82/80 edges=1662/255
Gen 118 | loss=0.0000 | f1=0.0606 prec=0.0351 rec=0.2235 jacc=0.0312 | nodes=80/80 edges=1626/255
Gen 119 | loss=0.0000 | f1=0.0606 prec=0.0351 rec=0.2235 jacc=0.0312 | nodes=80/80 edges=1626/255
Gen 120 | loss=0.0000 | f1=0.0606 prec=0.0351 rec=0.2235 jacc=0.0312 | nodes=80/80 edges=1626/255
Gen 121 | loss=0.0000 | f1=0.0606 prec=0.0351 rec=0.2235 jacc=0.0312 | nodes=80/80 edges=1626/255
Gen 122 | loss=0.0000 | f1=0.0606 prec=0.0351 rec=0.2235 jacc=0.0312 | nodes=80/80 edges=1626/255
Gen 123 | loss=0.0000 | f1=0.0606 prec=0.0351 rec=0.2235 jacc=0.0312 | nodes=80/80 edges=1626/255
Gen 124 | loss=0.0000 | f1=0.0595 prec=0.0347 rec=0.2078 jacc=0.0307 | nodes=80/80 edges=1526/255
Gen 125 | loss=0.0000 | f1=0.0648 prec=0.0375 rec=0.2353 jacc=0.0335 | nodes=80/80 edges=1598/255
Gen 126 | loss=0.0000 | f1=0.0652 prec=0.0377 rec=0.2431 jacc=0.0337 | nodes=80/80 edges=1646/255
Gen 127 | loss=0.0000 | f1=0.0611 prec=0.0357 rec=0.2118 jacc=0.0315 | nodes=80/80 edges=1514/255
Gen 128 | loss=0.0000 | f1=0.0606 prec=0.0351 rec=0.2235 jacc=0.0312 | nodes=80/80 edges=1626/255
Gen 129 | loss=0.0000 | f1=0.0611 prec=0.0357 rec=0.2118 jacc=0.0315 | nodes=80/80 edges=1514/255
Gen 130 | loss=0.0000 | f1=0.0580 prec=0.0338 rec=0.2039 jacc=0.0299 | nodes=80/80 edges=1538/255
Gen 131 | loss=0.0000 | f1=0.0580 prec=0.0338 rec=0.2039 jacc=0.0299 | nodes=80/80 edges=1538/255
